"Series ID","Industry","State"
"SMS45000006562000001","Health Care and Social Assistance","South Carolina"
"SMS45000007000000001","Leisure and Hospitality","South Carolina"
"SMS45000007071000001","Arts, Entertainment, and Recreation","South Carolina"
"SMS45000007072000001","Accommodation and Food Services","South Carolina"
"SMS45000008000000001","Other Services","South Carolina"
"SMS45000009000000001","Government","South Carolina"
"SMS45000009091000001","Federal Government","South Carolina"
"SMS45000009092000001","State Government","South Carolina"
"SMS45000009093000001","Local Government","South Carolina"
"SMS56000000000000001","Total Nonfarm","Wyoming"
"SMS56000000500000001","Total Private","Wyoming"
"SMS56000000600000001","Goods Producing","Wyoming"
"SMS56000000700000001","Service-Providing","Wyoming"
"SMS56000000800000001","Private Service Providing","Wyoming"
"SMS56000001000000001","Mining and Logging","Wyoming"
"SMS56000001500000001","Mining, Logging and Construction","Wyoming"
"SMS56000002000000001","Construction","Wyoming"
"SMS56000003000000001","Manufacturing","Wyoming"
"SMS56000003100000001","Durable Goods","Wyoming"
"SMS56000003200000001","Non-Durable Goods","Wyoming"
"SMS56000004000000001","Trade, Transportation, and Utilities","Wyoming"
"SMS56000004100000001","Wholesale Trade","Wyoming"
"SMS56000004200000001","Retail Trade","Wyoming"
"SMS56000004300000001","Transportation, Warehousing, and Utilities","Wyoming"
"SMS56000005000000001","Information","Wyoming"
"SMS56000005500000001","Financial Activities","Wyoming"
"SMS56000005553000001","Real Estate and Rental and Leasing","Wyoming"
"SMS56000006000000001","Professional and Business Services","Wyoming"
"SMS56000006054000001","Professional, Scientific, and Technical Services","Wyoming"
"SMS56000006056000001","Administrative and Support and Waste Management and Remediation Services","Wyoming"
"SMS56000006500000001","Education and Health Services","Wyoming"
"SMS56000006561000001","Educational Services","Wyoming"
"SMS56000006562000001","Health Care and Social Assistance","Wyoming"
"SMS56000007000000001","Leisure and Hospitality","Wyoming"
"SMS56000007071000001","Arts, Entertainment, and Recreation","Wyoming"
"SMS56000007072000001","Accommodation and Food Services","Wyoming"
"SMS56000008000000001","Other Services","Wyoming"
"SMS56000009000000001","Government","Wyoming"
"SMS56000009091000001","Federal Government","Wyoming"
"SMS56000009092000001","State Government","Wyoming"
"SMS56000009093000001","Local Government","Wyoming"
"SMS55000000000000001","Total Nonfarm","Wisconsin"
"SMS55000000500000001","Total Private","Wisconsin"
"SMS55000000600000001","Goods Producing","Wisconsin"
"SMS55000000700000001","Service-Providing","Wisconsin"
"SMS55000000800000001","Private Service Providing","Wisconsin"
"SMS55000001000000001","Mining and Logging","Wisconsin"
"SMS55000001500000001","Mining, Logging and Construction","Wisconsin"
"SMS55000002000000001","Construction","Wisconsin"
"SMS55000003000000001","Manufacturing","Wisconsin"
"SMS55000003100000001","Durable Goods","Wisconsin"
"SMS55000003200000001","Non-Durable Goods","Wisconsin"
"SMS55000004000000001","Trade, Transportation, and Utilities","Wisconsin"
"SMS55000004100000001","Wholesale Trade","Wisconsin"
"SMS55000004200000001","Retail Trade","Wisconsin"
"SMS55000004300000001","Transportation, Warehousing, and Utilities","Wisconsin"
"SMS55000005000000001","Information","Wisconsin"
"SMS55000005500000001","Financial Activities","Wisconsin"
"SMS55000005552000001","Finance and Insurance","Wisconsin"
"SMS55000005553000001","Real Estate and Rental and Leasing","Wisconsin"
"SMS55000006000000001","Professional and Business Services","Wisconsin"
"SMS55000006054000001","Professional, Scientific, and Technical Services","Wisconsin"
"SMS55000006055000001","Management of Companies and Enterprises","Wisconsin"
"SMS55000006056000001","Administrative and Support and Waste Management and Remediation Services","Wisconsin"
"SMS55000006500000001","Education and Health Services","Wisconsin"
"SMS55000006561000001","Educational Services","Wisconsin"
"SMS55000006562000001","Health Care and Social Assistance","Wisconsin"
"SMS55000007000000001","Leisure and Hospitality","Wisconsin"
"SMS55000007071000001","Arts, Entertainment, and Recreation","Wisconsin"
"SMS55000007072000001","Accommodation and Food Services","Wisconsin"
"SMS55000008000000001","Other Services","Wisconsin"
"SMS55000009000000001","Government","Wisconsin"
"SMS55000009091000001","Federal Government","Wisconsin"
"SMS55000009092000001","State Government","Wisconsin"
"SMS55000009093000001","Local Government","Wisconsin"
"SMS27000000000000001","Total Nonfarm","Minnesota"
"SMS27000000500000001","Total Private","Minnesota"
"SMS27000000600000001","Goods Producing","Minnesota"
"SMS27000000700000001","Service-Providing","Minnesota"
"SMS27000000800000001","Private Service Providing","Minnesota"
"SMS27000001000000001","Mining and Logging","Minnesota"
"SMS27000001500000001","Mining, Logging and Construction","Minnesota"
"SMS27000002000000001","Construction","Minnesota"
"SMS27000003000000001","Manufacturing","Minnesota"
"SMS27000003100000001","Durable Goods","Minnesota"
"SMS27000003200000001","Non-Durable Goods","Minnesota"
"SMS27000004000000001","Trade, Transportation, and Utilities","Minnesota"
"SMS27000004100000001","Wholesale Trade","Minnesota"
"SMS27000004200000001","Retail Trade","Minnesota"
"SMS27000004300000001","Transportation, Warehousing, and Utilities","Minnesota"
"SMS27000005000000001","Information","Minnesota"
"SMS27000005500000001","Financial Activities","Minnesota"
"SMS27000005552000001","Finance and Insurance","Minnesota"
"SMS27000005553000001","Real Estate and Rental and Leasing","Minnesota"
"SMS27000006000000001","Professional and Business Services","Minnesota"
"SMS27000006054000001","Professional, Scientific, and Technical Services","Minnesota"
"SMS27000006055000001","Management of Companies and Enterprises","Minnesota"
"SMS27000006056000001","Administrative and Support and Waste Management and Remediation Services","Minnesota"
"SMS27000006500000001","Education and Health Services","Minnesota"
"SMS27000006561000001","Educational Services","Minnesota"
"SMS27000006562000001","Health Care and Social Assistance","Minnesota"
"SMS27000007000000001","Leisure and Hospitality","Minnesota"
"SMS27000007071000001","Arts, Entertainment, and Recreation","Minnesota"
"SMS27000007072000001","Accommodation and Food Services","Minnesota"
"SMS27000008000000001","Other Services","Minnesota"
"SMS27000009000000001","Government","Minnesota"
"SMS27000009091000001","Federal Government","Minnesota"
"SMS27000009092000001","State Government","Minnesota"
"SMS27000009093000001","Local Government","Minnesota"
"SMS24000000000000001","Total Nonfarm","Maryland"
"SMS24000000500000001","Total Private","Maryland"
"SMS24000000600000001","Goods Producing","Maryland"
"SMS24000000700000001","Service-Providing","Maryland"
"SMS24000000800000001","Private Service Providing","Maryland"
"SMS24000001000000001","Mining and Logging","Maryland"
"SMS24000001500000001","Mining, Logging and Construction","Maryland"
"SMS24000002000000001","Construction","Maryland"
"SMS24000003000000001","Manufacturing","Maryland"
"SMS24000003100000001","Durable Goods","Maryland"
"SMS24000003200000001","Non-Durable Goods","Maryland"
"SMS24000004000000001","Trade, Transportation, and Utilities","Maryland"
"SMS24000004100000001","Wholesale Trade","Maryland"
"SMS24000004200000001","Retail Trade","Maryland"
"SMS24000004300000001","Transportation, Warehousing, and Utilities","Maryland"
"SMS24000005000000001","Information","Maryland"
"SMS24000005500000001","Financial Activities","Maryland"
"SMS24000005552000001","Finance and Insurance","Maryland"
"SMS24000005553000001","Real Estate and Rental and Leasing","Maryland"
"SMS24000006000000001","Professional and Business Services","Maryland"
"SMS24000006054000001","Professional, Scientific, and Technical Services","Maryland"
"SMS24000006055000001","Management of Companies and Enterprises","Maryland"
"SMS24000006056000001","Administrative and Support and Waste Management and Remediation Services","Maryland"
"SMS24000006500000001","Education and Health Services","Maryland"
"SMS24000006561000001","Educational Services","Maryland"
"SMS24000006562000001","Health Care and Social Assistance","Maryland"
"SMS24000007000000001","Leisure and Hospitality","Maryland"
"SMS24000007071000001","Arts, Entertainment, and Recreation","Maryland"
"SMS24000007072000001","Accommodation and Food Services","Maryland"
"SMS24000008000000001","Other Services","Maryland"
"SMS24000009000000001","Government","Maryland"
"SMS24000009091000001","Federal Government","Maryland"
"SMS24000009092000001","State Government","Maryland"
"SMS24000009093000001","Local Government","Maryland"
"SMS42000000000000001","Total Nonfarm","Pennsylvania"
"SMS42000000500000001","Total Private","Pennsylvania"
"SMS42000000600000001","Goods Producing","Pennsylvania"
"SMS42000000700000001","Service-Providing","Pennsylvania"
"SMS42000000800000001","Private Service Providing","Pennsylvania"
"SMS42000001000000001","Mining and Logging","Pennsylvania"
"SMS42000001500000001","Mining, Logging and Construction","Pennsylvania"
"SMS42000002000000001","Construction","Pennsylvania"
"SMS42000003000000001","Manufacturing","Pennsylvania"
"SMS42000003100000001","Durable Goods","Pennsylvania"
"SMS42000003200000001","Non-Durable Goods","Pennsylvania"
"SMS42000004000000001","Trade, Transportation, and Utilities","Pennsylvania"
"SMS42000004100000001","Wholesale Trade","Pennsylvania"
"SMS42000004200000001","Retail Trade","Pennsylvania"
"SMS42000004300000001","Transportation, Warehousing, and Utilities","Pennsylvania"
"SMS42000005000000001","Information","Pennsylvania"
"SMS42000005500000001","Financial Activities","Pennsylvania"
"SMS42000005552000001","Finance and Insurance","Pennsylvania"
"SMS42000005553000001","Real Estate and Rental and Leasing","Pennsylvania"
"SMS42000006000000001","Professional and Business Services","Pennsylvania"
"SMS42000006054000001","Professional, Scientific, and Technical Services","Pennsylvania"
"SMS42000006055000001","Management of Companies and Enterprises","Pennsylvania"
"SMS42000006056000001","Administrative and Support and Waste Management and Remediation Services","Pennsylvania"
"SMS42000006500000001","Education and Health Services","Pennsylvania"
"SMS42000006561000001","Educational Services","Pennsylvania"
"SMS42000006562000001","Health Care and Social Assistance","Pennsylvania"
"SMS42000007000000001","Leisure and Hospitality","Pennsylvania"
"SMS42000007071000001","Arts, Entertainment, and Recreation","Pennsylvania"
"SMS42000007072000001","Accommodation and Food Services","Pennsylvania"
"SMS42000008000000001","Other Services","Pennsylvania"
"SMS42000009000000001","Government","Pennsylvania"
"SMS42000009091000001","Federal Government","Pennsylvania"
"SMS42000009092000001","State Government","Pennsylvania"
"SMS42000009093000001","Local Government","Pennsylvania"
"SMS48000000000000001","Total Nonfarm","Texas"
"SMS48000000500000001","Total Private","Texas"
"SMS48000000600000001","Goods Producing","Texas"
"SMS48000000700000001","Service-Providing","Texas"
"SMS48000000800000001","Private Service Providing","Texas"
"SMS48000001000000001","Mining and Logging","Texas"
"SMS48000001500000001","Mining, Logging and Construction","Texas"
"SMS48000002000000001","Construction","Texas"
"SMS48000003000000001","Manufacturing","Texas"
"SMS48000003100000001","Durable Goods","Texas"
"SMS48000003200000001","Non-Durable Goods","Texas"
"SMS48000004000000001","Trade, Transportation, and Utilities","Texas"
"SMS48000004100000001","Wholesale Trade","Texas"
"SMS48000004200000001","Retail Trade","Texas"
"SMS48000004300000001","Transportation, Warehousing, and Utilities","Texas"
"SMS48000005000000001","Information","Texas"
"SMS48000005500000001","Financial Activities","Texas"
"SMS48000005552000001","Finance and Insurance","Texas"
"SMS48000005553000001","Real Estate and Rental and Leasing","Texas"
"SMS48000006000000001","Professional and Business Services","Texas"
"SMS48000006054000001","Professional, Scientific, and Technical Services","Texas"
"SMS48000006055000001","Management of Companies and Enterprises","Texas"
"SMS48000006056000001","Administrative and Support and Waste Management and Remediation Services","Texas"
"SMS48000006500000001","Education and Health Services","Texas"
"SMS48000006561000001","Educational Services","Texas"
"SMS48000006562000001","Health Care and Social Assistance","Texas"
"SMS48000007000000001","Leisure and Hospitality","Texas"
"SMS48000007071000001","Arts, Entertainment, and Recreation","Texas"
"SMS48000007072000001","Accommodation and Food Services","Texas"
"SMS48000008000000001","Other Services","Texas"
"SMS48000009000000001","Government","Texas"
"SMS48000009091000001","Federal Government","Texas"
"SMS48000009092000001","State Government","Texas"
"SMS48000009093000001","Local Government","Texas"
"SMS12000000000000001","Total Nonfarm","Florida"
"SMS12000000500000001","Total Private","Florida"
"SMS12000000600000001","Goods Producing","Florida"
"SMS12000000700000001","Service-Providing","Florida"
"SMS12000000800000001","Private Service Providing","Florida"
"SMS12000001500000001","Mining, Logging and Construction","Florida"
"SMS12000002000000001","Construction","Florida"
"SMS12000003000000001","Manufacturing","Florida"
"SMS12000003100000001","Durable Goods","Florida"
"SMS12000003200000001","Non-Durable Goods","Florida"
"SMS12000004000000001","Trade, Transportation, and Utilities","Florida"
"SMS12000004100000001","Wholesale Trade","Florida"
"SMS12000004200000001","Retail Trade","Florida"
"SMS12000004300000001","Transportation, Warehousing, and Utilities","Florida"
"SMS12000005000000001","Information","Florida"
"SMS12000005500000001","Financial Activities","Florida"
"SMS12000005552000001","Finance and Insurance","Florida"
"SMS12000005553000001","Real Estate and Rental and Leasing","Florida"
"SMS12000006000000001","Professional and Business Services","Florida"
"SMS12000006054000001","Professional, Scientific, and Technical Services","Florida"
"SMS12000006055000001","Management of Companies and Enterprises","Florida"
"SMS12000006056000001","Administrative and Support and Waste Management and Remediation Services","Florida"
"SMS12000006500000001","Education and Health Services","Florida"
"SMS12000006561000001","Educational Services","Florida"
"SMS12000006562000001","Health Care and Social Assistance","Florida"
"SMS12000007000000001","Leisure and Hospitality","Florida"
"SMS12000007071000001","Arts, Entertainment, and Recreation","Florida"
"SMS12000007072000001","Accommodation and Food Services","Florida"
"SMS12000008000000001","Other Services","Florida"
"SMS12000009000000001","Government","Florida"
"SMS12000009091000001","Federal Government","Florida"
"SMS12000009092000001","State Government","Florida"
"SMS12000009093000001","Local Government","Florida"
"SMS26000000000000001","Total Nonfarm","Michigan"
"SMS26000000500000001","Total Private","Michigan"
"SMS26000000600000001","Goods Producing","Michigan"
"SMS26000000700000001","Service-Providing","Michigan"
"SMS26000000800000001","Private Service Providing","Michigan"
"SMS26000001000000001","Mining and Logging","Michigan"
"SMS26000001500000001","Mining, Logging and Construction","Michigan"
"SMS26000002000000001","Construction","Michigan"
"SMS26000003000000001","Manufacturing","Michigan"
"SMS26000003100000001","Durable Goods","Michigan"
"SMS26000003200000001","Non-Durable Goods","Michigan"
"SMS26000004000000001","Trade, Transportation, and Utilities","Michigan"
"SMS26000004100000001","Wholesale Trade","Michigan"
"SMS26000004200000001","Retail Trade","Michigan"
"SMS26000004300000001","Transportation, Warehousing, and Utilities","Michigan"
"SMS26000005000000001","Information","Michigan"
"SMS26000005500000001","Financial Activities","Michigan"
"SMS26000005552000001","Finance and Insurance","Michigan"
"SMS26000005553000001","Real Estate and Rental and Leasing","Michigan"
"SMS26000006000000001","Professional and Business Services","Michigan"
"SMS26000006054000001","Professional, Scientific, and Technical Services","Michigan"
"SMS26000006055000001","Management of Companies and Enterprises","Michigan"
"SMS26000006056000001","Administrative and Support and Waste Management and Remediation Services","Michigan"
"SMS26000006500000001","Education and Health Services","Michigan"
"SMS26000006561000001","Educational Services","Michigan"
"SMS26000006562000001","Health Care and Social Assistance","Michigan"
"SMS26000007000000001","Leisure and Hospitality","Michigan"
"SMS26000007071000001","Arts, Entertainment, and Recreation","Michigan"
"SMS26000007072000001","Accommodation and Food Services","Michigan"
"SMS26000008000000001","Other Services","Michigan"
"SMS26000009000000001","Government","Michigan"
"SMS26000009091000001","Federal Government","Michigan"
"SMS26000009092000001","State Government","Michigan"
"SMS26000009093000001","Local Government","Michigan"
"SMS15000000000000001","Total Nonfarm","Hawaii"
"SMS15000000500000001","Total Private","Hawaii"
"SMS15000000600000001","Goods Producing","Hawaii"
"SMS15000000700000001","Service-Providing","Hawaii"
"SMS15000000800000001","Private Service Providing","Hawaii"
"SMS15000001500000001","Mining, Logging and Construction","Hawaii"
"SMS15000003000000001","Manufacturing","Hawaii"
"SMS15000003100000001","Durable Goods","Hawaii"
"SMS15000003200000001","Non-Durable Goods","Hawaii"
"SMS15000004000000001","Trade, Transportation, and Utilities","Hawaii"
"SMS15000004100000001","Wholesale Trade","Hawaii"
"SMS15000004200000001","Retail Trade","Hawaii"
"SMS15000004300000001","Transportation, Warehousing, and Utilities","Hawaii"
"SMS15000005000000001","Information","Hawaii"
"SMS15000005500000001","Financial Activities","Hawaii"
"SMS15000005552000001","Finance and Insurance","Hawaii"
"SMS15000005553000001","Real Estate and Rental and Leasing","Hawaii"
"SMS15000006000000001","Professional and Business Services","Hawaii"
"SMS15000006054000001","Professional, Scientific, and Technical Services","Hawaii"
"SMS15000006055000001","Management of Companies and Enterprises","Hawaii"
"SMS15000006056000001","Administrative and Support and Waste Management and Remediation Services","Hawaii"
"SMS15000006500000001","Education and Health Services","Hawaii"
"SMS15000006561000001","Educational Services","Hawaii"
"SMS15000006562000001","Health Care and Social Assistance","Hawaii"
"SMS15000007000000001","Leisure and Hospitality","Hawaii"
"SMS15000007071000001","Arts, Entertainment, and Recreation","Hawaii"
"SMS15000007072000001","Accommodation and Food Services","Hawaii"
"SMS15000008000000001","Other Services","Hawaii"
"SMS15000009000000001","Government","Hawaii"
"SMS15000009091000001","Federal Government","Hawaii"
"SMS15000009092000001","State Government","Hawaii"
"SMS15000009093000001","Local Government","Hawaii"
"SMS47000000000000001","Total Nonfarm","Tennessee"
"SMS47000000500000001","Total Private","Tennessee"
"SMS47000000600000001","Goods Producing","Tennessee"
"SMS47000000700000001","Service-Providing","Tennessee"
"SMS47000000800000001","Private Service Providing","Tennessee"
"SMS47000001000000001","Mining and Logging","Tennessee"
"SMS47000001500000001","Mining, Logging and Construction","Tennessee"
"SMS47000002000000001","Construction","Tennessee"
"SMS47000003000000001","Manufacturing","Tennessee"
"SMS47000003100000001","Durable Goods","Tennessee"
"SMS47000003200000001","Non-Durable Goods","Tennessee"
"SMS47000004000000001","Trade, Transportation, and Utilities","Tennessee"
"SMS47000004100000001","Wholesale Trade","Tennessee"
"SMS47000004200000001","Retail Trade","Tennessee"
"SMS47000004300000001","Transportation, Warehousing, and Utilities","Tennessee"
"SMS47000005000000001","Information","Tennessee"
"SMS47000005500000001","Financial Activities","Tennessee"
"SMS47000005552000001","Finance and Insurance","Tennessee"
"SMS47000005553000001","Real Estate and Rental and Leasing","Tennessee"
"SMS47000006000000001","Professional and Business Services","Tennessee"
"SMS47000006054000001","Professional, Scientific, and Technical Services","Tennessee"
"SMS47000006055000001","Management of Companies and Enterprises","Tennessee"
"SMS47000006056000001","Administrative and Support and Waste Management and Remediation Services","Tennessee"
"SMS47000006500000001","Education and Health Services","Tennessee"
"SMS47000006561000001","Educational Services","Tennessee"
"SMS47000006562000001","Health Care and Social Assistance","Tennessee"
"SMS47000007000000001","Leisure and Hospitality","Tennessee"
"SMS47000007071000001","Arts, Entertainment, and Recreation","Tennessee"
"SMS47000007072000001","Accommodation and Food Services","Tennessee"
"SMS47000008000000001","Other Services","Tennessee"
"SMS47000009000000001","Government","Tennessee"
"SMS47000009091000001","Federal Government","Tennessee"
"SMS47000009092000001","State Government","Tennessee"
"SMS47000009093000001","Local Government","Tennessee"
"SMS05000000000000001","Total Nonfarm","Arkansas"
"SMS05000000500000001","Total Private","Arkansas"
"SMS05000000600000001","Goods Producing","Arkansas"
"SMS05000000700000001","Service-Providing","Arkansas"
"SMS05000000800000001","Private Service Providing","Arkansas"
"SMS05000001000000001","Mining and Logging","Arkansas"
"SMS05000001500000001","Mining, Logging and Construction","Arkansas"
"SMS05000002000000001","Construction","Arkansas"
"SMS05000003000000001","Manufacturing","Arkansas"
"SMS05000003100000001","Durable Goods","Arkansas"
"SMS05000003200000001","Non-Durable Goods","Arkansas"
"SMS05000004000000001","Trade, Transportation, and Utilities","Arkansas"
"SMS05000004100000001","Wholesale Trade","Arkansas"
"SMS05000004200000001","Retail Trade","Arkansas"
"SMS05000004300000001","Transportation, Warehousing, and Utilities","Arkansas"
"SMS05000005000000001","Information","Arkansas"
"SMS05000005500000001","Financial Activities","Arkansas"
"SMS05000005552000001","Finance and Insurance","Arkansas"
"SMS05000005553000001","Real Estate and Rental and Leasing","Arkansas"
"SMS05000006000000001","Professional and Business Services","Arkansas"
"SMS05000006054000001","Professional, Scientific, and Technical Services","Arkansas"
"SMS05000006055000001","Management of Companies and Enterprises","Arkansas"
"SMS05000006056000001","Administrative and Support and Waste Management and Remediation Services","Arkansas"
"SMS05000006500000001","Education and Health Services","Arkansas"
"SMS05000006561000001","Educational Services","Arkansas"
"SMS05000006562000001","Health Care and Social Assistance","Arkansas"
"SMS05000007000000001","Leisure and Hospitality","Arkansas"
"SMS05000007071000001","Arts, Entertainment, and Recreation","Arkansas"
"SMS05000007072000001","Accommodation and Food Services","Arkansas"
"SMS05000008000000001","Other Services","Arkansas"
"SMS05000009000000001","Government","Arkansas"
"SMS05000009091000001","Federal Government","Arkansas"
"SMS05000009092000001","State Government","Arkansas"
"SMS05000009093000001","Local Government","Arkansas"
"SMS39000000000000001","Total Nonfarm","Ohio"
"SMS39000000500000001","Total Private","Ohio"
"SMS39000000600000001","Goods Producing","Ohio"
"SMS39000000700000001","Service-Providing","Ohio"
"SMS39000000800000001","Private Service Providing","Ohio"
"SMS39000001000000001","Mining and Logging","Ohio"
"SMS39000001500000001","Mining, Logging and Construction","Ohio"
"SMS39000002000000001","Construction","Ohio"
"SMS39000003000000001","Manufacturing","Ohio"
"SMS39000003100000001","Durable Goods","Ohio"
"SMS39000003200000001","Non-Durable Goods","Ohio"
"SMS39000004000000001","Trade, Transportation, and Utilities","Ohio"
"SMS39000004100000001","Wholesale Trade","Ohio"
"SMS39000004200000001","Retail Trade","Ohio"
"SMS39000004300000001","Transportation, Warehousing, and Utilities","Ohio"
"SMS39000005000000001","Information","Ohio"
"SMS39000005500000001","Financial Activities","Ohio"
"SMS39000005552000001","Finance and Insurance","Ohio"
"SMS39000005553000001","Real Estate and Rental and Leasing","Ohio"
"SMS39000006000000001","Professional and Business Services","Ohio"
"SMS39000006054000001","Professional, Scientific, and Technical Services","Ohio"
"SMS39000006055000001","Management of Companies and Enterprises","Ohio"
"SMS39000006056000001","Administrative and Support and Waste Management and Remediation Services","Ohio"
"SMS39000006500000001","Education and Health Services","Ohio"
"SMS39000006561000001","Educational Services","Ohio"
"SMS39000006562000001","Health Care and Social Assistance","Ohio"
"SMS39000007000000001","Leisure and Hospitality","Ohio"
"SMS39000007071000001","Arts, Entertainment, and Recreation","Ohio"
"SMS39000007072000001","Accommodation and Food Services","Ohio"
"SMS39000008000000001","Other Services","Ohio"
"SMS39000009000000001","Government","Ohio"
"SMS39000009091000001","Federal Government","Ohio"
"SMS39000009092000001","State Government","Ohio"
"SMS39000009093000001","Local Government","Ohio"
"SMS31000000000000001","Total Nonfarm","Nebraska"
"SMS31000000500000001","Total Private","Nebraska"
"SMS31000000600000001","Goods Producing","Nebraska"
"SMS31000000700000001","Service-Providing","Nebraska"
"SMS31000000800000001","Private Service Providing","Nebraska"
"SMS31000001000000001","Mining and Logging","Nebraska"
"SMS31000001500000001","Mining, Logging and Construction","Nebraska"
"SMS31000002000000001","Construction","Nebraska"
"SMS31000003000000001","Manufacturing","Nebraska"
"SMS31000003100000001","Durable Goods","Nebraska"
"SMS31000003200000001","Non-Durable Goods","Nebraska"
"SMS31000004000000001","Trade, Transportation, and Utilities","Nebraska"
"SMS31000004100000001","Wholesale Trade","Nebraska"
"SMS31000004200000001","Retail Trade","Nebraska"
"SMS31000004300000001","Transportation, Warehousing, and Utilities","Nebraska"
"SMS31000005000000001","Information","Nebraska"
"SMS31000005500000001","Financial Activities","Nebraska"
"SMS31000005552000001","Finance and Insurance","Nebraska"
"SMS31000005553000001","Real Estate and Rental and Leasing","Nebraska"
"SMS31000006000000001","Professional and Business Services","Nebraska"
"SMS31000006054000001","Professional, Scientific, and Technical Services","Nebraska"
"SMS31000006055000001","Management of Companies and Enterprises","Nebraska"
"SMS31000006056000001","Administrative and Support and Waste Management and Remediation Services","Nebraska"
"SMS31000006500000001","Education and Health Services","Nebraska"
"SMS31000006561000001","Educational Services","Nebraska"
"SMS31000006562000001","Health Care and Social Assistance","Nebraska"
"SMS31000007000000001","Leisure and Hospitality","Nebraska"
"SMS31000007071000001","Arts, Entertainment, and Recreation","Nebraska"
"SMS31000007072000001","Accommodation and Food Services","Nebraska"
"SMS31000008000000001","Other Services","Nebraska"
"SMS31000009000000001","Government","Nebraska"
"SMS31000009091000001","Federal Government","Nebraska"
"SMS31000009092000001","State Government","Nebraska"
"SMS31000009093000001","Local Government","Nebraska"
"SMS46000000000000001","Total Nonfarm","South Dakota"
"SMS46000000500000001","Total Private","South Dakota"
"SMS46000000600000001","Goods Producing","South Dakota"
"SMS46000000700000001","Service-Providing","South Dakota"
"SMS46000000800000001","Private Service Providing","South Dakota"
"SMS46000001000000001","Mining and Logging","South Dakota"
"SMS46000001500000001","Mining, Logging and Construction","South Dakota"
"SMS46000002000000001","Construction","South Dakota"
"SMS46000003000000001","Manufacturing","South Dakota"
"SMS46000004000000001","Trade, Transportation, and Utilities","South Dakota"
"SMS46000004100000001","Wholesale Trade","South Dakota"
"SMS46000004200000001","Retail Trade","South Dakota"
"SMS46000004300000001","Transportation, Warehousing, and Utilities","South Dakota"
"SMS46000005000000001","Information","South Dakota"
"SMS46000005500000001","Financial Activities","South Dakota"
