"Series ID","Area","Industry","Datatype","Adjustment Method","State"
"SMS13000008000000001","Statewide","Other Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000009000000001","Statewide","Government","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000009091000001","Statewide","Federal Government","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000009092000001","Statewide","State Government","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000009093000001","Statewide","Local Government","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMU13000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000000500000001","Statewide","Total Private","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000000700000001","Statewide","Service-Providing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000000800000001","Statewide","Private Service Providing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000001000000001","Statewide","Mining and Logging","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000001500000001","Statewide","Mining, Logging and Construction","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000002000000001","Statewide","Construction","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000002023600001","Statewide","Construction of Buildings","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000002023700001","Statewide","Heavy and Civil Engineering Construction","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000002023800001","Statewide","Specialty Trade Contractors","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003000000001","Statewide","Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003100000001","Statewide","Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003133600001","Statewide","Transportation Equipment Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003200000001","Statewide","Non-Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003231100001","Statewide","Food Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003231300001","Statewide","Textile Mills","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000003231400001","Statewide","Textile Product Mills","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004000000001","Statewide","Trade, Transportation, and Utilities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004100000001","Statewide","Wholesale Trade","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004142300001","Statewide","Merchant Wholesalers, Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004142400001","Statewide","Merchant Wholesalers, Nondurable Goods","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004142500001","Statewide","Wholesale Electronic Markets and Agents and Brokers","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004200000001","Statewide","Retail Trade","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004244500001","Statewide","Food and Beverage Stores","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004245200001","Statewide","General Merchandise Stores","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004245300001","Statewide","Miscellaneous Store Retailers","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004300000001","Statewide","Transportation, Warehousing, and Utilities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004322000001","Statewide","Utilities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004340008901","Statewide","Transportation and Warehousing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004348100001","Statewide","Air Transportation","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004348400001","Statewide","Truck Transportation","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004349200001","Statewide","Couriers and Messengers","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000004349300001","Statewide","Warehousing and Storage","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005000000001","Statewide","Information","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005051700001","Statewide","Telecommunications","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005051730001","Statewide","Wired and Wireless Telecommunications Carriers","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005051800001","Statewide","Data Processing, Hosting, and Related Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005500000001","Statewide","Financial Activities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005552000001","Statewide","Finance and Insurance","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005552400001","Statewide","Insurance Carriers and Related Activities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000005553000001","Statewide","Real Estate and Rental and Leasing","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006000000001","Statewide","Professional and Business Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006054000001","Statewide","Professional, Scientific, and Technical Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006054120001","Statewide","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006054130001","Statewide","Architectural, Engineering, and Related Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006054150001","Statewide","Computer Systems Design and Related Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006054160001","Statewide","Management, Scientific, and Technical Consulting Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006055000001","Statewide","Management of Companies and Enterprises","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006056000001","Statewide","Administrative and Support and Waste Management and Remediation Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006056130001","Statewide","Employment Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006500000001","Statewide","Education and Health Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006561000001","Statewide","Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006561130001","Statewide","Colleges, Universities, and Professional Schools","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006562000001","Statewide","Health Care and Social Assistance","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006562100001","Statewide","Ambulatory Health Care Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006562200001","Statewide","Hospitals","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006562300001","Statewide","Nursing and Residential Care Facilities","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000006562400001","Statewide","Social Assistance","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007000000001","Statewide","Leisure and Hospitality","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007071000001","Statewide","Arts, Entertainment, and Recreation","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007071300001","Statewide","Amusement, Gambling, and Recreation Industries","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007072000001","Statewide","Accommodation and Food Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007072100001","Statewide","Accommodation","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000007072200001","Statewide","Food Services and Drinking Places","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000008000000001","Statewide","Other Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000008081100001","Statewide","Repair and Maintenance","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000008081200001","Statewide","Personal and Laundry Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000008081300001","Statewide","Religious, Grantmaking, Civic, Professional, and Similar Organizations","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009000000001","Statewide","Government","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009091000001","Statewide","Federal Government","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009091911901","Statewide","Department of Defense, including Ship Building and Hospitals","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009092000001","Statewide","State Government","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009092161101","Statewide","State Government Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009092200001","Statewide","State Government Excluding Education","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009093000001","Statewide","Local Government","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009093161101","Statewide","Local Government Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMU13000009093200001","Statewide","Local Government excluding Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","Georgia"
"SMS45000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000000500000001","Statewide","Total Private","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000000700000001","Statewide","Service-Providing","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000000800000001","Statewide","Private Service Providing","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000001000000001","Statewide","Mining and Logging","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000001500000001","Statewide","Mining, Logging and Construction","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000002000000001","Statewide","Construction","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000003000000001","Statewide","Manufacturing","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000003100000001","Statewide","Durable Goods","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000003200000001","Statewide","Non-Durable Goods","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000004000000001","Statewide","Trade, Transportation, and Utilities","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000004100000001","Statewide","Wholesale Trade","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000004200000001","Statewide","Retail Trade","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000004300000001","Statewide","Transportation, Warehousing, and Utilities","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000005000000001","Statewide","Information","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000005500000001","Statewide","Financial Activities","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000005552000001","Statewide","Finance and Insurance","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000005553000001","Statewide","Real Estate and Rental and Leasing","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006000000001","Statewide","Professional and Business Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006054000001","Statewide","Professional, Scientific, and Technical Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006055000001","Statewide","Management of Companies and Enterprises","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006056000001","Statewide","Administrative and Support and Waste Management and Remediation Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006500000001","Statewide","Education and Health Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006561000001","Statewide","Educational Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000006562000001","Statewide","Health Care and Social Assistance","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000007000000001","Statewide","Leisure and Hospitality","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000007071000001","Statewide","Arts, Entertainment, and Recreation","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000007072000001","Statewide","Accommodation and Food Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000008000000001","Statewide","Other Services","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000009000000001","Statewide","Government","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000009091000001","Statewide","Federal Government","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000009092000001","Statewide","State Government","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMS45000009093000001","Statewide","Local Government","All Employees, In Thousands","Seasonally Adjusted","South Carolina"
"SMU45000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000000500000001","Statewide","Total Private","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000000700000001","Statewide","Service-Providing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000000800000001","Statewide","Private Service Providing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000001000000001","Statewide","Mining and Logging","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000001500000001","Statewide","Mining, Logging and Construction","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000002000000001","Statewide","Construction","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000002023600001","Statewide","Construction of Buildings","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000002023700001","Statewide","Heavy and Civil Engineering Construction","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000002023800001","Statewide","Specialty Trade Contractors","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003000000001","Statewide","Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003100000001","Statewide","Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003133200001","Statewide","Fabricated Metal Product Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003133600001","Statewide","Transportation Equipment Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003200000001","Statewide","Non-Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003231300001","Statewide","Textile Mills","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000003232600001","Statewide","Plastics and Rubber Products Manufacturing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004000000001","Statewide","Trade, Transportation, and Utilities","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004100000001","Statewide","Wholesale Trade","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004142300001","Statewide","Merchant Wholesalers, Durable Goods","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004142400001","Statewide","Merchant Wholesalers, Nondurable Goods","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004200000001","Statewide","Retail Trade","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004244100001","Statewide","Motor Vehicle and Parts Dealers","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004244500001","Statewide","Food and Beverage Stores","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004244600001","Statewide","Health and Personal Care Stores","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004244800001","Statewide","Clothing and Clothing Accessories Stores","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004245200001","Statewide","General Merchandise Stores","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004300000001","Statewide","Transportation, Warehousing, and Utilities","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004322000001","Statewide","Utilities","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000004340008901","Statewide","Transportation and Warehousing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000005000000001","Statewide","Information","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000005500000001","Statewide","Financial Activities","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000005552000001","Statewide","Finance and Insurance","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000005552200001","Statewide","Credit Intermediation and Related Activities including Monetary Authorities - Central Bank","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000005553000001","Statewide","Real Estate and Rental and Leasing","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006000000001","Statewide","Professional and Business Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006054000001","Statewide","Professional, Scientific, and Technical Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006054130001","Statewide","Architectural, Engineering, and Related Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006055000001","Statewide","Management of Companies and Enterprises","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006056000001","Statewide","Administrative and Support and Waste Management and Remediation Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006056100001","Statewide","Administrative and Support Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006056130001","Statewide","Employment Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006056170001","Statewide","Services to Buildings and Dwellings","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006500000001","Statewide","Education and Health Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006561000001","Statewide","Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006562000001","Statewide","Health Care and Social Assistance","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006562100001","Statewide","Ambulatory Health Care Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006562200001","Statewide","Hospitals","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000006562300001","Statewide","Nursing and Residential Care Facilities","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007000000001","Statewide","Leisure and Hospitality","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007071000001","Statewide","Arts, Entertainment, and Recreation","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007071300001","Statewide","Amusement, Gambling, and Recreation Industries","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007072000001","Statewide","Accommodation and Food Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007072100001","Statewide","Accommodation","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000007072200001","Statewide","Food Services and Drinking Places","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000008000000001","Statewide","Other Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000008081100001","Statewide","Repair and Maintenance","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000008081200001","Statewide","Personal and Laundry Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009000000001","Statewide","Government","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009091000001","Statewide","Federal Government","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009092000001","Statewide","State Government","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009092161101","Statewide","State Government Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009092200001","Statewide","State Government Excluding Education","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009093000001","Statewide","Local Government","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009093161101","Statewide","Local Government Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMU45000009093200001","Statewide","Local Government excluding Educational Services","All Employees, In Thousands","Not Seasonally Adjusted","South Carolina"
"SMS56000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000000500000001","Statewide","Total Private","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000000700000001","Statewide","Service-Providing","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000000800000001","Statewide","Private Service Providing","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000001000000001","Statewide","Mining and Logging","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000001500000001","Statewide","Mining, Logging and Construction","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000002000000001","Statewide","Construction","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000003000000001","Statewide","Manufacturing","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000003100000001","Statewide","Durable Goods","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000003200000001","Statewide","Non-Durable Goods","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000004000000001","Statewide","Trade, Transportation, and Utilities","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000004100000001","Statewide","Wholesale Trade","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000004200000001","Statewide","Retail Trade","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000004300000001","Statewide","Transportation, Warehousing, and Utilities","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000005000000001","Statewide","Information","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000005500000001","Statewide","Financial Activities","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000005553000001","Statewide","Real Estate and Rental and Leasing","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006000000001","Statewide","Professional and Business Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006054000001","Statewide","Professional, Scientific, and Technical Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006056000001","Statewide","Administrative and Support and Waste Management and Remediation Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006500000001","Statewide","Education and Health Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006561000001","Statewide","Educational Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000006562000001","Statewide","Health Care and Social Assistance","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000007000000001","Statewide","Leisure and Hospitality","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000007071000001","Statewide","Arts, Entertainment, and Recreation","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000007072000001","Statewide","Accommodation and Food Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000008000000001","Statewide","Other Services","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000009000000001","Statewide","Government","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000009091000001","Statewide","Federal Government","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000009092000001","Statewide","State Government","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMS56000009093000001","Statewide","Local Government","All Employees, In Thousands","Seasonally Adjusted","Wyoming"
"SMU56000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Not Seasonally Adjusted","Wyoming"
"SMU56000000500000001","Statewide","Total Private","All Employees, In Thousands","Not Seasonally Adjusted","Wyoming"
"SMU56000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Not Seasonally Adjusted","Wyoming"
