"time_id","date_name","year","quarter","month","month_name"
201803,"2018 March",2018,"Q1",3,"March"
201804,"2018 April",2018,"Q2",4,"April"
201805,"2018 May",2018,"Q2",5,"May"
201806,"2018 June",2018,"Q2",6,"June"
201807,"2018 July",2018,"Q3",7,"July"
201808,"2018 August",2018,"Q3",8,"August"
201809,"2018 September",2018,"Q3",9,"September"
201810,"2018 October",2018,"Q4",10,"October"
201811,"2018 November",2018,"Q4",11,"November"
201812,"2018 December",2018,"Q4",12,"December"
201901,"2019 January",2019,"Q1",1,"January"
201902,"2019 February",2019,"Q1",2,"February"
201903,"2019 March",2019,"Q1",3,"March"
201904,"2019 April",2019,"Q2",4,"April"
201905,"2019 May",2019,"Q2",5,"May"
201906,"2019 June",2019,"Q2",6,"June"
201907,"2019 July",2019,"Q3",7,"July"
201908,"2019 August",2019,"Q3",8,"August"
201909,"2019 September",2019,"Q3",9,"September"
201910,"2019 October",2019,"Q4",10,"October"
201911,"2019 November",2019,"Q4",11,"November"
201912,"2019 December",2019,"Q4",12,"December"
202001,"2020 January",2020,"Q1",1,"January"
202002,"2020 February",2020,"Q1",2,"February"
202003,"2020 March",2020,"Q1",3,"March"
202004,"2020 April",2020,"Q2",4,"April"
